Time,Ads
2017-09-13 00:00:00,80115
2017-09-13 01:00:00,79885
2017-09-13 02:00:00,89325
2017-09-13 03:00:00,101930
2017-09-13 04:00:00,121630
2017-09-13 05:00:00,116475
2017-09-13 06:00:00,106495
2017-09-13 07:00:00,102795
2017-09-13 08:00:00,108055
2017-09-13 09:00:00,116125
2017-09-13 10:00:00,131030
2017-09-13 11:00:00,149020
2017-09-13 12:00:00,157590
2017-09-13 13:00:00,150715
2017-09-13 14:00:00,149295
2017-09-13 15:00:00,150100
2017-09-13 16:00:00,144780
2017-09-13 17:00:00,150690
2017-09-13 18:00:00,163840
2017-09-13 19:00:00,166235
2017-09-13 20:00:00,139520
2017-09-13 21:00:00,105895
2017-09-13 22:00:00,96780
2017-09-13 23:00:00,82520
2017-09-14 00:00:00,80125
2017-09-14 01:00:00,75335
2017-09-14 02:00:00,85105
2017-09-14 03:00:00,102080
2017-09-14 04:00:00,125135
2017-09-14 05:00:00,118030
2017-09-14 06:00:00,109225
2017-09-14 07:00:00,102475
2017-09-14 08:00:00,102240
2017-09-14 09:00:00,115840
2017-09-14 10:00:00,130540
2017-09-14 11:00:00,144325
2017-09-14 12:00:00,148970
2017-09-14 13:00:00,149150
2017-09-14 14:00:00,148040
2017-09-14 15:00:00,148810
2017-09-14 16:00:00,149830
2017-09-14 17:00:00,150570
2017-09-14 18:00:00,149440
2017-09-14 19:00:00,150520
2017-09-14 20:00:00,129130
2017-09-14 21:00:00,103815
2017-09-14 22:00:00,92175
2017-09-14 23:00:00,82765
2017-09-15 00:00:00,76315
2017-09-15 01:00:00,75130
2017-09-15 02:00:00,82640
2017-09-15 03:00:00,88795
2017-09-15 04:00:00,118430
2017-09-15 05:00:00,115190
2017-09-15 06:00:00,110940
2017-09-15 07:00:00,98860
2017-09-15 08:00:00,104185
2017-09-15 09:00:00,108665
2017-09-15 10:00:00,126640
2017-09-15 11:00:00,140435
2017-09-15 12:00:00,152470
2017-09-15 13:00:00,146275
2017-09-15 14:00:00,148020
2017-09-15 15:00:00,147735
2017-09-15 16:00:00,145750
2017-09-15 17:00:00,149285
2017-09-15 18:00:00,159725
2017-09-15 19:00:00,161085
2017-09-15 20:00:00,135520
2017-09-15 21:00:00,112945
2017-09-15 22:00:00,100200
2017-09-15 23:00:00,87615
2017-09-16 00:00:00,87835
2017-09-16 01:00:00,88845
2017-09-16 02:00:00,92350
2017-09-16 03:00:00,104465
2017-09-16 04:00:00,115940
2017-09-16 05:00:00,128950
2017-09-16 06:00:00,141385
2017-09-16 07:00:00,144440
2017-09-16 08:00:00,143250
2017-09-16 09:00:00,133190
2017-09-16 10:00:00,131240
2017-09-16 11:00:00,142480
2017-09-16 12:00:00,157375
2017-09-16 13:00:00,152500
2017-09-16 14:00:00,153735
2017-09-16 15:00:00,151195
2017-09-16 16:00:00,150645
2017-09-16 17:00:00,147435
2017-09-16 18:00:00,152525
2017-09-16 19:00:00,146875
2017-09-16 20:00:00,125245
2017-09-16 21:00:00,117925
2017-09-16 22:00:00,96700
2017-09-16 23:00:00,93610
2017-09-17 00:00:00,89060
2017-09-17 01:00:00,89345
2017-09-17 02:00:00,90575
2017-09-17 03:00:00,98290
2017-09-17 04:00:00,112570
2017-09-17 05:00:00,129470
2017-09-17 06:00:00,141405
2017-09-17 07:00:00,152560
2017-09-17 08:00:00,152580
2017-09-17 09:00:00,141170
2017-09-17 10:00:00,147550
2017-09-17 11:00:00,161110
2017-09-17 12:00:00,166335
2017-09-17 13:00:00,166780
2017-09-17 14:00:00,163140
2017-09-17 15:00:00,157305
2017-09-17 16:00:00,159055
2017-09-17 17:00:00,160020
2017-09-17 18:00:00,168345
2017-09-17 19:00:00,169900
2017-09-17 20:00:00,142710
2017-09-17 21:00:00,112955
2017-09-17 22:00:00,97345
2017-09-17 23:00:00,81675
2017-09-18 00:00:00,79510
2017-09-18 01:00:00,78350
2017-09-18 02:00:00,88045
2017-09-18 03:00:00,99790
2017-09-18 04:00:00,123780
2017-09-18 05:00:00,111325
2017-09-18 06:00:00,99440
2017-09-18 07:00:00,97655
2017-09-18 08:00:00,97655
2017-09-18 09:00:00,102565
2017-09-18 10:00:00,119930
2017-09-18 11:00:00,135755
2017-09-18 12:00:00,140120
2017-09-18 13:00:00,141730
2017-09-18 14:00:00,142220
2017-09-18 15:00:00,145360
2017-09-18 16:00:00,145335
2017-09-18 17:00:00,150410
2017-09-18 18:00:00,161520
2017-09-18 19:00:00,153415
2017-09-18 20:00:00,134720
2017-09-18 21:00:00,107065
2017-09-18 22:00:00,95045
2017-09-18 23:00:00,79515
2017-09-19 00:00:00,78335
2017-09-19 01:00:00,74670
2017-09-19 02:00:00,81990
2017-09-19 03:00:00,97950
2017-09-19 04:00:00,119345
2017-09-19 05:00:00,113115
2017-09-19 06:00:00,98880
2017-09-19 07:00:00,94000
2017-09-19 08:00:00,93660
2017-09-19 09:00:00,104185
2017-09-19 10:00:00,119750
2017-09-19 11:00:00,135990
2017-09-19 12:00:00,146455
2017-09-19 13:00:00,139165
2017-09-19 14:00:00,147225
2017-09-19 15:00:00,144935
2017-09-19 16:00:00,151370
2017-09-19 17:00:00,156080
2017-09-19 18:00:00,161385
2017-09-19 19:00:00,165010
2017-09-19 20:00:00,134090
2017-09-19 21:00:00,105585
2017-09-19 22:00:00,92855
2017-09-19 23:00:00,79270
2017-09-20 00:00:00,79980
2017-09-20 01:00:00,78110
2017-09-20 02:00:00,85785
2017-09-20 03:00:00,100010
2017-09-20 04:00:00,123880
2017-09-20 05:00:00,116335
2017-09-20 06:00:00,104290
2017-09-20 07:00:00,101440
2017-09-20 08:00:00,97635
2017-09-20 09:00:00,108265
2017-09-20 10:00:00,121250
2017-09-20 11:00:00,140850
2017-09-20 12:00:00,138555
2017-09-20 13:00:00,140990
2017-09-20 14:00:00,141525
2017-09-20 15:00:00,141590
2017-09-20 16:00:00,140610
2017-09-20 17:00:00,139515
2017-09-20 18:00:00,146215
2017-09-20 19:00:00,142425
2017-09-20 20:00:00,123945
2017-09-20 21:00:00,101360
2017-09-20 22:00:00,88170
2017-09-20 23:00:00,76050
2017-09-21 00:00:00,70335
2017-09-21 01:00:00,72150
2017-09-21 02:00:00,80195
2017-09-21 03:00:00,94945
2017-09-21 04:00:00,121910
2017-09-21 05:00:00,113950
2017-09-21 06:00:00,106495
2017-09-21 07:00:00,97290
2017-09-21 08:00:00,98860
2017-09-21 09:00:00,105635
2017-09-21 10:00:00,114380
2017-09-21 11:00:00,132335
2017-09-21 12:00:00,146630
2017-09-21 13:00:00,141995
2017-09-21 14:00:00,142815
2017-09-21 15:00:00,146020
2017-09-21 16:00:00,152120
2017-09-21 17:00:00,151790
2017-09-21 18:00:00,155665
2017-09-21 19:00:00,155890
2017-09-21 20:00:00,123395
2017-09-21 21:00:00,103080
2017-09-21 22:00:00,95155
2017-09-21 23:00:00,80285
